Id,Weekly_Sales
1_1_2012-11-02,35387.77000000005
1_1_2012-11-09,20951.870200000027
1_1_2012-11-16,20802.091499999984
1_1_2012-11-23,21300.170800000007
1_1_2012-11-30,25691.980800000034
1_1_2012-12-07,32418.653499999968
1_1_2012-12-14,43383.34139999993
1_1_2012-12-21,44460.9972
1_1_2012-12-28,23422.648899999956
1_1_2013-01-04,16567.689999999962
1_1_2013-01-11,16894.399999999976
1_1_2013-01-18,18365.10000000003
1_1_2013-01-25,18378.15999999997
1_1_2013-02-01,23510.49000000002
1_1_2013-02-08,36988.49000000009
1_1_2013-02-15,54060.09999999996
1_1_2013-02-22,20124.219999999976
1_1_2013-03-01,20113.030000000024
1_1_2013-03-08,21140.070000000018
1_1_2013-03-15,22366.879999999943
1_1_2013-03-22,22107.699999999983
1_1_2013-03-29,28952.859999999997
1_1_2013-04-05,57592.12000000008
1_1_2013-04-12,34684.20999999997
1_1_2013-04-19,16976.189999999962
1_1_2013-04-26,16347.600000000024
1_1_2013-05-03,17147.439999999962
1_1_2013-05-10,18164.199999999968
1_1_2013-05-17,18517.790000000023
1_1_2013-05-24,16963.550000000032
1_1_2013-05-31,16065.489999999993
1_1_2013-06-07,17666.0
1_1_2013-06-14,17558.82000000001
1_1_2013-06-21,16633.409999999978
1_1_2013-06-28,15722.820000000007
1_1_2013-07-05,17823.370000000043
1_1_2013-07-12,16566.17999999999
1_1_2013-07-19,16348.060000000038
1_1_2013-07-26,15731.179999999993
1_2_2012-11-02,44764.58859999999
1_2_2012-11-09,43927.57959999999
1_2_2012-11-16,43583.58799999992
1_2_2012-11-23,45252.22389999996
1_2_2012-11-30,44727.03819999998
1_2_2012-12-07,47241.763
1_2_2012-12-14,48496.58179999994
1_2_2012-12-21,58871.21600000004
1_2_2012-12-28,44605.21679999998
1_2_2013-01-04,44481.37999999992
1_2_2013-01-11,43353.089999999946
1_2_2013-01-18,43753.43000000006
1_2_2013-01-25,41556.22999999999
1_2_2013-02-01,54322.24000000013
1_2_2013-02-08,50581.05999999996
1_2_2013-02-15,46085.47000000007
1_2_2013-02-22,47080.12000000008
1_2_2013-03-01,52608.50999999987
1_2_2013-03-08,48563.69000000002
1_2_2013-03-15,47346.31999999997
1_2_2013-03-22,44796.02999999993
1_2_2013-03-29,46529.68000000004
1_2_2013-04-05,51805.87999999992
1_2_2013-04-12,43991.18000000006
1_2_2013-04-19,45561.85000000003
1_2_2013-04-26,45456.23000000002
1_2_2013-05-03,50501.29999999991
1_2_2013-05-10,46717.75999999988
1_2_2013-05-17,44411.23000000001
1_2_2013-05-24,45817.069999999956
1_2_2013-05-31,47425.29000000003
1_2_2013-06-07,49439.58000000005
1_2_2013-06-14,46637.48000000004
1_2_2013-06-21,46075.0
1_2_2013-06-28,47629.14
1_2_2013-07-05,49771.91999999995
1_2_2013-07-12,44411.950000000084
1_2_2013-07-19,45108.22000000007
1_2_2013-07-26,45008.22000000007
1_3_2012-11-02,9297.539000000006
1_3_2012-11-09,9594.396000000013
1_3_2012-11-16,9712.560800000005
1_3_2012-11-23,10231.65680000002
1_3_2012-11-30,9844.196800000012
1_3_2012-12-07,11802.062000000018
1_3_2012-12-14,12031.305000000018
1_3_2012-12-21,12415.955799999989
1_3_2012-12-28,9434.984699999986
1_3_2013-01-04,13926.04000000002
1_3_2013-01-11,13822.489999999993
1_3_2013-01-18,11702.07999999999
1_3_2013-01-25,10613.170000000016
1_3_2013-02-01,12485.78000000002
1_3_2013-02-08,12388.85
1_3_2013-02-15,10237.78000000002
1_3_2013-02-22,10502.400000000016
1_3_2013-03-01,11387.310000000029
1_3_2013-03-08,11925.709999999985
1_3_2013-03-15,8845.729999999989
1_3_2013-03-22,7910.219999999981
1_3_2013-03-29,9129.229999999989
1_3_2013-04-05,9335.239999999993
1_3_2013-04-12,7927.72999999999
1_3_2013-04-19,8647.359999999988
1_3_2013-04-26,8635.619999999997
1_3_2013-05-03,10655.349999999986
1_3_2013-05-10,10342.71999999998
1_3_2013-05-17,8609.819999999983
1_3_2013-05-24,8345.329999999987
1_3_2013-05-31,7175.77000000001
1_3_2013-06-07,8614.640000000012
1_3_2013-06-14,8016.260000000007
1_3_2013-06-21,7301.410000000001
1_3_2013-06-28,7577.589999999997
1_3_2013-07-05,8473.70999999999
1_3_2013-07-12,13126.149999999992
1_3_2013-07-19,20126.949999999968
1_3_2013-07-26,22716.699999999986
1_4_2012-11-02,37119.404800000026
1_4_2012-11-09,36484.81120000004
1_4_2012-11-16,36906.391000000054
1_4_2012-11-23,46423.8426
1_4_2012-11-30,37500.96649999998
1_4_2012-12-07,37754.62600000005
1_4_2012-12-14,37595.354200000074
1_4_2012-12-21,44452.86430000005
1_4_2012-12-28,37371.220000000074
1_4_2013-01-04,40925.75999999989
1_4_2013-01-11,36582.35999999997
1_4_2013-01-18,33780.20000000005
1_4_2013-01-25,33613.91000000004
1_4_2013-02-01,40274.83000000005
1_4_2013-02-08,39305.12999999992
1_4_2013-02-15,36550.45999999997
1_4_2013-02-22,34953.850000000064
1_4_2013-03-01,38459.97999999999
1_4_2013-03-08,38934.77000000001
1_4_2013-03-15,38125.319999999934
1_4_2013-03-22,36586.52000000001
1_4_2013-03-29,37718.5099999999
1_4_2013-04-05,42060.20999999997
1_4_2013-04-12,37449.2599999999
1_4_2013-04-19,36350.029999999926
1_4_2013-04-26,36894.54000000003
1_4_2013-05-03,41897.54999999992
1_4_2013-05-10,35840.06000000005
1_4_2013-05-17,34536.29000000003
1_4_2013-05-24,38270.339999999946
1_4_2013-05-31,41566.54999999992
1_4_2013-06-07,41124.27000000001
1_4_2013-06-14,39019.7400000001
1_4_2013-06-21,37400.31000000005
1_4_2013-06-28,39758.77000000001
1_4_2013-07-05,44936.95999999997
1_4_2013-07-12,38073.910000000054
1_4_2013-07-19,38080.04999999994
1_4_2013-07-26,35197.58999999996
1_5_2012-11-02,27557.49639999996
1_5_2012-11-09,28063.895299999953
1_5_2012-11-16,26727.47370000002
1_5_2012-11-23,68952.4700000001
1_5_2012-11-30,31361.710600000002
1_5_2012-12-07,39869.90719999992
1_5_2012-12-14,42069.079200000066
1_5_2012-12-21,58632.86960000003
1_5_2012-12-28,33139.742899999925
1_5_2013-01-04,23105.81000000004
1_5_2013-01-11,19281.61000000004
1_5_2013-01-18,19298.419999999973
1_5_2013-01-25,21376.419999999973
1_5_2013-02-01,28307.43000000003
1_5_2013-02-08,38096.04000000003
1_5_2013-02-15,46219.95999999997
1_5_2013-02-22,30797.879999999932
1_5_2013-03-01,30642.529999999955
1_5_2013-03-08,25492.209999999974
1_5_2013-03-15,29345.72000000004
1_5_2013-03-22,25442.129999999936
1_5_2013-03-29,22392.090000000022
1_5_2013-04-05,28386.81000000004
1_5_2013-04-12,18458.330000000024
1_5_2013-04-19,16645.010000000006
1_5_2013-04-26,17170.389999999967
1_5_2013-05-03,18953.070000000018
1_5_2013-05-10,17277.629999999957
1_5_2013-05-17,17955.729999999985
1_5_2013-05-24,18625.669999999976
1_5_2013-05-31,17233.25
1_5_2013-06-07,24752.990000000027
1_5_2013-06-14,21376.629999999943
1_5_2013-06-21,24337.240000000023
1_5_2013-06-28,20233.89999999996
1_5_2013-07-05,19684.479999999985
1_5_2013-07-12,18089.610000000037
1_5_2013-07-19,17896.459999999977
1_5_2013-07-26,14105.399999999989
1_6_2012-11-02,4295.3636000000015
1_6_2012-11-09,3916.377599999999
1_6_2012-11-16,3503.7224
1_6_2012-11-23,14631.091100000005
1_6_2012-11-30,4793.621900000002
1_6_2012-12-07,6043.932499999995
1_6_2012-12-14,8704.62200000001
1_6_2012-12-21,15951.38800000002
1_6_2012-12-28,5914.6257999999925
1_6_2013-01-04,3665.25
1_6_2013-01-11,2460.920000000005
1_6_2013-01-18,2427.4599999999978
1_6_2013-01-25,1649.3999999999971
1_6_2013-02-01,3981.090000000007
1_6_2013-02-08,7338.849999999988
1_6_2013-02-15,4223.419999999997
1_6_2013-02-22,3784.059999999998
1_6_2013-03-01,6464.5200000000095
1_6_2013-03-08,4183.299999999993
1_6_2013-03-15,3905.719999999991
1_6_2013-03-22,2856.829999999996
1_6_2013-03-29,4540.270000000006
1_6_2013-04-05,4764.429999999994
1_6_2013-04-12,4500.119999999996
1_6_2013-04-19,2988.9600000000005
1_6_2013-04-26,3319.320000000005
1_6_2013-05-03,4658.179999999994
1_6_2013-05-10,3574.83
1_6_2013-05-17,6030.810000000006
1_6_2013-05-24,5131.260000000007
1_6_2013-05-31,3249.75
1_6_2013-06-07,4888.460000000008
1_6_2013-06-14,4087.580000000002
1_6_2013-06-21,4870.309999999999
1_6_2013-06-28,4774.5
1_6_2013-07-05,2828.030000000001
1_6_2013-07-12,2776.9699999999993
1_6_2013-07-19,3496.5300000000066
1_6_2013-07-26,2545.649999999996
1_7_2012-11-02,22351.776300000016
1_7_2012-11-09,24055.500000000044
1_7_2012-11-16,21792.100799999993
1_7_2012-11-23,66994.88359999991
1_7_2012-11-30,31368.058000000045
1_7_2012-12-07,45121.25400000006
1_7_2012-12-14,65185.551099999895
1_7_2012-12-21,110495.44300000017
1_7_2012-12-28,36694.37999999991
1_7_2013-01-04,12377.760000000007
1_7_2013-01-11,9194.609999999988
1_7_2013-01-18,10189.609999999988
1_7_2013-01-25,11228.150000000009
1_7_2013-02-01,16556.709999999977
1_7_2013-02-08,21619.05000000003
1_7_2013-02-15,16849.62000000004
1_7_2013-02-22,15956.870000000037
1_7_2013-03-01,16473.909999999978
1_7_2013-03-08,17500.239999999994
1_7_2013-03-15,20690.010000000006
1_7_2013-03-22,15628.59000000002
1_7_2013-03-29,18684.0
1_7_2013-04-05,27171.410000000003
1_7_2013-04-12,21302.30000000003
1_7_2013-04-19,19056.919999999973
1_7_2013-04-26,18704.530000000024
1_7_2013-05-03,22956.83000000003
1_7_2013-05-10,23036.800000000014
1_7_2013-05-17,19180.11000000004
1_7_2013-05-24,28671.979999999985
1_7_2013-05-31,31568.91999999996
1_7_2013-06-07,30052.560000000045
1_7_2013-06-14,26249.220000000023
1_7_2013-06-21,24777.12000000006
1_7_2013-06-28,24077.389999999978
1_7_2013-07-05,27364.959999999974
1_7_2013-07-12,18427.169999999976
1_7_2013-07-19,16528.100000000024
1_7_2013-07-26,17171.350000000024
1_8_2012-11-02,39071.680400000056
1_8_2012-11-09,38204.98400000005
1_8_2012-11-16,37368.75200000002
1_8_2012-11-23,35765.190600000045
1_8_2012-11-30,37604.819299999996
1_8_2012-12-07,38668.80289999998
1_8_2012-12-14,37970.659499999965
1_8_2012-12-21,40411.97720000005
1_8_2012-12-28,34717.96709999996
1_8_2013-01-04,36797.0
1_8_2013-01-11,34033.89000000002
1_8_2013-01-18,35356.12000000008
1_8_2013-01-25,34644.25
1_8_2013-02-01,40069.47000000008
1_8_2013-02-08,38317.890000000036
1_8_2013-02-15,37244.72999999999
1_8_2013-02-22,37204.720000000074
1_8_2013-03-01,40307.18999999995
1_8_2013-03-08,36553.81999999994
1_8_2013-03-15,36141.27000000001
1_8_2013-03-22,33758.45000000005
1_8_2013-03-29,37745.70999999997
1_8_2013-04-05,41917.56000000005
1_8_2013-04-12,37295.29000000003
1_8_2013-04-19,36930.93999999995
1_8_2013-04-26,38531.7599999999
1_8_2013-05-03,41589.100000000064
1_8_2013-05-10,37702.52999999992
1_8_2013-05-17,37817.25
1_8_2013-05-24,39067.0
1_8_2013-05-31,41039.74000000011
1_8_2013-06-07,40236.22999999999
1_8_2013-06-14,38163.7599999999
1_8_2013-06-21,37693.87999999992
1_8_2013-06-28,37647.43999999995
1_8_2013-07-05,41524.66999999995
1_8_2013-07-12,36130.009999999915
1_8_2013-07-19,37797.31000000005
1_8_2013-07-26,36981.899999999936
1_9_2012-11-02,45087.4896
1_9_2012-11-09,39456.60629999993
1_9_2012-11-16,34260.20879999996
