id,date,asset,liability,idx
23373,9/30/02,95914,87304,1
23376,12/31/02,95937,87453,2
23376,3/31/02,83335,75939,3
23376,6/30/02,84988,77125,4
23376,9/30/02,90501,82248,5
234,12/31/02,56866,49406,6
234,3/31/02,55204,47914,7
234,6/30/02,55180,47695,8
234,9/30/02,56940,49249,9
23404,12/31/02,78625,72580,10
23404,3/31/02,72425,66709,11
23404,6/30/02,73619,67798,12
23404,9/30/02,73962,68002,13
23406,12/31/02,2210000,1890000,14
23406,3/31/02,1940000,1630000,15
23406,6/30/02,2020000,1700000,16
23406,9/30/02,2180000,1860000,17
23410,12/31/02,141564,130310,18
23410,3/31/02,116761,107957,19
23410,6/30/02,123334,113906,20
23410,9/30/02,131008,120145,21
23415,12/31/02,286895,263703,22
23415,3/31/02,236225,216261,23
23415,6/30/02,246060,225181,24
23415,9/30/02,270486,249040,25
23430,12/31/02,105957,97224,26
23430,3/31/02,101363,93330,27
23430,6/30/02,100732,92402,28
23430,9/30/02,101698,93382,29
23431,12/31/02,80764,73375,30
23431,3/31/02,74601,67666,31
23431,6/30/02,78938,71667,32
23431,9/30/02,83190,75581,33
23433,12/31/02,135859,119858,34
23433,3/31/02,119849,105591,35
23433,6/30/02,123809,108488,36
23433,9/30/02,127713,112014,37
2345,12/31/02,1530000,1390000,38
2345,3/31/02,1450000,1330000,39
2345,6/30/02,1500000,1370000,40
2345,9/30/02,1550000,1410000,41
23450,12/31/02,64740,57879,42
23450,3/31/02,61774,56422,43
23450,6/30/02,62366,56466,44
23450,9/30/02,64494,57990,45
23453,12/31/02,127184,117200,46
23453,3/31/02,137992,128978,47
23453,6/30/02,121822,112489,48
23453,9/30/02,122438,112729,49
23463,12/31/02,1470000,1330000,50
23463,3/31/02,1250000,1140000,51
23463,6/30/02,1290000,1170000,52
23463,9/30/02,1370000,1250000,53
23468,12/31/02,100532,21248,54
23468,3/31/02,103308,32380,55
23468,6/30/02,96320,22561,56
23468,9/30/02,102360,23743,57
23469,12/31/02,138722,125657,58
23469,3/31/02,134982,123590,59
23469,6/30/02,141792,130096,60
23469,9/30/02,139788,127297,61
23470,12/31/02,256853,239776,62
23470,3/31/02,239319,224898,63
23470,6/30/02,243828,227636,64
23470,9/30/02,236760,219906,65
23472,12/31/02,313757,62269,66
23472,3/31/02,282904,47737,67
23472,6/30/02,292382,50463,68
23472,9/30/02,305068,55041,69
23473,12/31/02,556850,500409,70
23473,3/31/02,530703,478215,71
23473,6/30/02,532973,478889,72
23473,9/30/02,553012,497559,73
23474,12/31/02,1040000,964557,74
23474,3/31/02,894514,826442,75
23474,6/30/02,984582,911411,76
23474,9/30/02,1040000,959359,77
23498,12/31/02,44331,41090,78
23498,3/31/02,44111,40719,79
23498,6/30/02,44290,40921,80
23498,9/30/02,43933,40645,81
235,12/31/02,49260,44897,82
235,3/31/02,44533,40465,83
235,6/30/02,45258,41097,84
235,9/30/02,47163,42848,85
23502,12/31/02,143871,124576,86
23502,3/31/02,134389,115887,87
23502,6/30/02,138055,119277,88
23502,9/30/02,142136,123074,89
23523,12/31/02,82201,72372,90
23523,3/31/02,78783,69919,91
23523,6/30/02,85351,76011,92
23523,9/30/02,92132,82533,93
23524,12/31/02,336867,299890,94
23524,3/31/02,306886,270838,95
23524,6/30/02,312125,275848,96
23524,9/30/02,322972,287252,97
23530,12/31/02,33938,29789,98
23530,3/31/02,32199,28247,99
23530,6/30/02,32755,28743,100
23530,9/30/02,33132,29040,101
23537,12/31/02,164088,142044,102
23537,3/31/02,127791,108431,103
23537,6/30/02,140814,120545,104
23537,9/30/02,161823,140808,105
23543,12/31/02,537316,501189,106
23543,3/31/02,503137,480412,107
23543,6/30/02,584086,553329,108
23543,9/30/02,573165,538888,109
23544,12/31/02,104483,94990,110
23544,3/31/02,97586,88973,111
23544,6/30/02,94312,85412,112
23544,9/30/02,98800,89516,113
23546,12/31/02,252948,222127,114
23546,3/31/02,236819,207313,115
23546,6/30/02,243856,213849,116
23546,9/30/02,254972,224423,117
23551,12/31/02,62907,55735,118
23551,3/31/02,63800,57328,119
23551,6/30/02,61721,54985,120
23551,9/30/02,62960,56069,121
23556,12/31/02,383025,344117,122
23556,3/31/02,221376,199250,123
23556,6/30/02,267017,243418,124
23556,9/30/02,304023,276370,125
23567,12/31/02,107069,97619,126
23567,3/31/02,83930,75052,127
23567,6/30/02,91325,82254,128
23567,9/30/02,98449,89193,129
23568,12/31/02,267084,247270,130
23568,3/31/02,277990,262094,131
23568,6/30/02,259072,241735,132
23568,9/30/02,267461,248108,133
23577,12/31/02,769660,699460,134
23577,3/31/02,704062,640178,135
23577,6/30/02,720831,654981,136
23577,9/30/02,753557,685866,137
23579,12/31/02,137389,126610,138
23579,3/31/02,138386,128149,139
23579,6/30/02,133288,122946,140
23579,9/30/02,135716,125211,141
23588,12/31/02,144930,130507,142
23588,3/31/02,138861,129394,143
23588,6/30/02,144314,130957,144
23588,9/30/02,147267,133048,145
2359,12/31/02,224945,202763,146
2359,3/31/02,211311,191844,147
2359,6/30/02,220688,201021,148
2359,9/30/02,221291,199531,149
23591,12/31/02,41292,37312,150
23591,3/31/02,40815,37314,151
23591,6/30/02,41319,37596,152
23591,9/30/02,40850,37001,153
23592,3/31/02,22122,10404,154
23592,12/31/02,24311,12079,155
23592,6/30/02,24121,12217,156
23592,9/30/02,22571,10530,157
23594,12/31/02,1820000,1650000,158
23594,3/31/02,1670000,1510000,159
23594,6/30/02,1740000,1560000,160
23594,9/30/02,1830000,1640000,161
23595,12/31/02,100908,90916,162
23595,3/31/02,76146,68259,163
23595,6/30/02,73452,65452,164
23595,9/30/02,85358,77161,165
23597,12/31/02,93303,84472,166
23597,3/31/02,99064,90582,167
23597,6/30/02,95021,86066,168
23597,9/30/02,96262,86958,169
236,12/31/02,31767,28550,170
236,3/31/02,32492,29721,171
236,6/30/02,31988,29048,172
236,9/30/02,30911,27797,173
23620,12/31/02,818565,729839,174
23620,3/31/02,785726,695831,175
23620,6/30/02,796782,707349,176
23620,9/30/02,817078,728844,177
23621,12/31/02,1040000,933387,178
23621,3/31/02,1020000,906194,179
23621,6/30/02,1030000,914260,180
23621,9/30/02,1060000,940862,181
23622,12/31/02,743234,629058,182
23622,3/31/02,711486,598079,183
23622,6/30/02,706463,593685,184
23622,9/30/02,721736,612164,185
23623,12/31/02,1750000,1620000,186
23623,3/31/02,1360000,1270000,187
23623,6/30/02,1640000,1520000,188
23623,9/30/02,1690000,1560000,189
23626,12/31/02,102333,87532,190
23626,3/31/02,98352,84318,191
23626,6/30/02,97753,83221,192
23626,9/30/02,102186,87130,193
23627,12/31/02,1740000,1590000,194
23627,3/31/02,1610000,1480000,195
23627,6/30/02,1590000,1460000,196
23627,9/30/02,1610000,1480000,197
23632,12/31/02,208727,195248,198
23632,3/31/02,179555,167696,199
23632,6/30/02,187119,174917,200
23632,9/30/02,193319,180555,201
23634,3/31/02,649131,597555,202
23634,6/30/02,645947,592871,203
23647,12/31/02,1050000,976402,204
23647,3/31/02,1030000,961913,205
23647,6/30/02,1040000,971990,206
23647,9/30/02,1040000,971274,207
23671,12/31/02,75596,68513,208
23671,3/31/02,67285,61189,209
23671,6/30/02,69740,63375,210
23671,9/30/02,70303,63639,211
23675,12/31/02,72757,65174,212
23675,3/31/02,69311,62129,213
23675,6/30/02,68975,61540,214
23675,9/30/02,73754,66333,215
23681,12/31/02,585011,547453,216
23681,3/31/02,586564,553673,217
23681,6/30/02,615184,579142,218
23681,9/30/02,637126,599194,219
23702,12/31/02,32700000,28500000,220
23702,3/31/02,36200000,32100000,221
23702,6/30/02,33100000,28800000,222
23702,9/30/02,33300000,28800000,223
23713,12/31/02,144054,135444,224
23713,3/31/02,143423,135256,225
23713,6/30/02,146701,138373,226
23713,9/30/02,144343,135941,227
2372,12/31/02,49576,45755,228
2372,3/31/02,49033,45503,229
2372,6/30/02,50219,46691,230
2372,9/30/02,51022,47272,231
23737,12/31/02,121231,111842,232
23737,3/31/02,114557,105656,233
23737,6/30/02,116010,106888,234
23737,9/30/02,118027,108828,235
23739,12/31/02,63684,56947,236
23739,3/31/02,65398,58893,237
23739,6/30/02,65842,59188,238
23739,9/30/02,62837,56085,239
2374,12/31/02,143822,130826,240
2374,3/31/02,143200,131185,241
2374,6/30/02,140781,128311,242
2374,9/30/02,143037,130284,243
23743,12/31/02,1070000,865133,244
23743,9/30/02,1000000,913255,245
23743,3/31/02,404164,356159,246
23743,6/30/02,406375,360918,247
23745,12/31/02,65212,59716,248
23745,3/31/02,61254,56041,249
23745,6/30/02,64212,58860,250
23745,9/30/02,66354,60955,251
23749,12/31/02,52766,47758,252
23749,3/31/02,50147,45448,253
23749,6/30/02,47329,42526,254
23749,9/30/02,53239,48352,255
2375,12/31/02,72434,63446,256
2375,3/31/02,73305,64911,257
2375,6/30/02,73575,64826,258
2375,9/30/02,72843,63935,259
23754,12/31/02,122458,110892,260
23754,3/31/02,118980,107830,261
23754,6/30/02,117826,106569,262
23754,9/30/02,119392,108022,263
23756,12/31/02,144291,130244,264
23756,3/31/02,136148,123533,265
23756,6/30/02,144195,131142,266
23756,9/30/02,140686,127133,267
23757,12/31/02,174007,152918,268
23757,3/31/02,173010,160007,269
23757,6/30/02,185761,166630,270
23757,9/30/02,177421,158025,271
23760,12/31/02,77214,71710,272
23760,3/31/02,69829,64750,273
23760,6/30/02,72411,67157,274
23760,9/30/02,74238,68851,275
23764,12/31/02,27685,25542,276
23764,3/31/02,25231,23282,277
23764,6/30/02,26747,24730,278
23764,9/30/02,27819,25752,279
2377,12/31/02,150862,135144,280
2377,3/31/02,149628,136026,281
2377,6/30/02,145610,131183,282
2377,9/30/02,149594,134450,283
23772,12/31/02,410290,370522,284
23772,3/31/02,334766,303287,285
23772,6/30/02,368270,333808,286
23772,9/30/02,428182,391807,287
23786,12/31/02,181361,161270,288
23786,3/31/02,187097,159280,289
23786,6/30/02,178234,156137,290
23786,9/30/02,181816,160998,291
2379,12/31/02,100953,84395,292
2379,3/31/02,103976,89205,293
2379,6/30/02,103320,87555,294
2379,9/30/02,102661,86191,295
23798,12/31/02,90793,84354,296
23798,3/31/02,91333,85474,297
23798,6/30/02,85111,78958,298
23798,9/30/02,84960,78580,299
23799,12/31/02,126287,115053,300
23799,3/31/02,98431,88065,301
23799,6/30/02,102532,91683,302
23799,9/30/02,107201,95949,303
238,12/31/02,24273,21514,304
238,3/31/02,22267,19796,305
238,6/30/02,22502,19922,306
238,9/30/02,23407,20754,307
2380,12/31/02,151398,136595,308
2380,3/31/02,151000,133065,309
2380,6/30/02,147765,129117,310
2380,9/30/02,147911,128753,311
23803,12/31/02,162564,150025,312
23803,3/31/02,157277,146385,313
23803,6/30/02,160205,148043,314
23803,9/30/02,166918,154529,315
23805,12/31/02,125154,115640,316
23805,3/31/02,137579,127541,317
